"用户ID","特征","清洁效率","耗材","对比","时间"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:剩余40%","优于65%同面积用户（清洁频率更高）","2025-01"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率低于同类30%","2025-01"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:15次/月","胶刷更换:剩余25天\n尘盒容量:每日清理","毛发处理效率前15%","2025-01"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:89%","主刷缠绕:严重\n滤网更换:急需","建议升级吸力至2500Pa","2025-01"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:95%\n定时清扫未使用","电池衰减:25%\n水箱未激活","急需语音控制功能","2025-01"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:3次/周\n玩具避障率:76%","边刷更换:2次/季度\n集尘袋消耗:1个/月","建议增加机械臂配件","2025-01"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:90%\n日均清扫:35㎡\n沿边清扫无死角","滤网寿命:剩余80天\n尘盒清理:每5天","清洁效率优于70%小户型用户","2025-01"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:86%\n餐桌区域漏扫:1次/天\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每日2次","大理石地面清洁效果低于同类15%","2025-01"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:85%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中清洁效率处于中等水平","2025-01"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:15%\n边刷寿命:剩余45天","大户型中操作便捷性低于同类20%","2025-01"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:86%\n日均清扫:46㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余55天\nHEPA滤网:剩余35%","优于68%同面积用户（清洁频率更高）","2025-02"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:87%\n避障失败:3次/周（电线缠绕）","边刷磨损:中度+\n尘盒清理:每2天","拖地功能使用率低于同类32%","2025-02"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:91%\n地毯增压使用:14次/月","胶刷更换:剩余20天\n尘盒容量:每日清理","毛发处理效率前18%","2025-02"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:9次/月\n自动回充成功率:87%","主刷缠绕:严重+\n滤网更换:紧急","建议升级吸力至2500Pa+定期清理主刷","2025-02"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:94%\n定时清扫尝试使用:1次/周","电池衰减:26%\n水箱未激活","急需语音控制功能+简化操作界面","2025-02"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:4次/周\n玩具避障率:74%","边刷更换:待更换\n集尘袋消耗:1.2个/月","建议增加机械臂配件+提升跨楼层导航","2025-02"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:36㎡\n沿边清扫无死角","滤网寿命:剩余75天\n尘盒清理:每4天","清洁效率优于72%小户型用户","2025-02"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:87%\n餐桌区域漏扫:1次/天\n避障成功率:91%","主刷磨损:轻度+\n水箱加水:每日2次","大理石地面清洁效果低于同类13%","2025-02"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:86%\n自动回充成功率:93%","胶刷缠绕:中度\n滤网更换:剩余25天","养宠家庭中清洁效率处于中上等水平","2025-02"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:83%\n手动辅助清扫:2次/天\n定时清扫使用率:65%","电池衰减:16%\n边刷寿命:剩余40天","大户型中操作便捷性低于同类18%","2025-02"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:87%\n日均清扫:47㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余50天\nHEPA滤网:剩余30%","优于70%同面积用户（清洁频率更高）","2025-03"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/周（电线+数据线）","边刷磨损:重度-\n尘盒清理:每2天","拖地功能使用率低于同类30%+建议整理线路","2025-03"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:16次/月","胶刷更换:已更换\n尘盒容量:每日清理","毛发处理效率前15%","2025-03"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:88%","主刷缠绕:严重\n滤网更换:已更换","升级吸力后清洁效率提升5%","2025-03"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:93%\n定时清扫使用率:2次/周","电池衰减:27%\n水箱首次激活:使用1次","语音控制功能已预约安装","2025-03"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:2次/周\n玩具避障率:78%","边刷更换:1次/季度\n集尘袋消耗:1个/月","机械臂配件已加装+跨楼层导航优化","2025-03"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:92%\n日均清扫:37㎡\n沿边清扫无死角","滤网寿命:剩余70天\n尘盒清理:每4天","清洁效率优于75%小户型用户","2025-03"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:88%\n餐桌区域漏扫:0次/天\n避障成功率:92%","主刷磨损:中度-\n水箱加水:每日1次","大理石地面清洁效果与同类持平","2025-03"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:88%\n自动回充成功率:94%","胶刷缠绕:轻度+\n滤网更换:剩余20天","养宠家庭中清洁效率处于上等水平","2025-03"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:85%\n手动辅助清扫:2次/天\n定时清扫使用率:70%","电池衰减:17%\n边刷寿命:剩余35天","大户型中操作便捷性与同类持平","2025-03"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:88%\n日均清扫:48㎡\n漏扫区域:无（沙发底部垫高）","主刷寿命:剩余45天\nHEPA滤网:剩余25%","优于75%同面积用户（清洁无死角）","2025-04"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:89%\n避障失败:1次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率提升至同类平均水平","2025-04"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:93%\n地毯增压使用:17次/月","胶刷更换:剩余45天\n尘盒容量:每2天清理","毛发处理效率前10%","2025-04"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:90%","主刷缠绕:中度+\n滤网寿命:剩余60天","清洁效率优于同类养宠家庭20%","2025-04"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:85%\n定时清扫使用率:5次/周","电池衰减:28%\n水箱使用率:50%","语音控制功能已安装+操作熟练度提升","2025-04"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:1次/周\n玩具避障率:85%","边刷寿命:剩余60天\n集尘袋消耗:0.8个/月","清洁效率优于80%大户型多层用户","2025-04"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:93%\n日均清扫:38㎡\n沿边清扫无死角","滤网寿命:剩余65天\n尘盒清理:每5天","清洁效率优于80%小户型用户","2025-04"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:90%\n避障成功率:95%","主刷寿命:剩余70天\n水箱加水:每日1次","大理石地面清洁效果优于同类10%","2025-04"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:90%\n自动回充成功率:95%","胶刷缠绕:轻度\n滤网寿命:剩余50天","养宠家庭中清洁效率前20%","2025-04"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:87%\n手动辅助清扫:1次/天\n定时清扫使用率:75%","电池衰减:18%\n边刷寿命:剩余30天","大户型中操作便捷性优于同类10%","2025-04"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:89%\n日均清扫:49㎡\n无漏扫区域","主刷寿命:剩余40天\nHEPA滤网:剩余20%","优于80%同面积用户（清洁效率拉满）","2025-05"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:90%\n避障失败:0次/周","边刷寿命:剩余50天\n尘盒清理:每4天","拖地功能使用率优于同类10%","2025-05"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:94%\n地毯增压使用:18次/月","胶刷寿命:剩余40天\n尘盒清理:每2天","毛发处理效率前8%","2025-05"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:92%","主刷缠绕:轻度\n滤网寿命:剩余55天","清洁效率优于同类养宠家庭25%","2025-05"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:75%\n定时清扫使用率:7次/周","电池衰减:29%\n水箱使用率:70%","语音控制功能使用熟练度满分","2025-05"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:0次/周\n玩具避障率:90%","边刷寿命:剩余55天\n集尘袋消耗:0.7个/月","清洁效率优于90%大户型多层用户","2025-05"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:94%\n日均清扫:39㎡\n无漏扫区域","滤网寿命:剩余60天\n尘盒清理:每5天","清洁效率优于85%小户型用户","2025-05"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:91%\n避障成功率:96%","主刷寿命:剩余65天\n水箱加水:每日1次","大理石地面清洁效果优于同类15%","2025-05"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:91%\n自动回充成功率:96%","胶刷缠绕:无\n滤网寿命:剩余45天","养宠家庭中清洁效率前15%","2025-05"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:88%\n手动辅助清扫:1次/天\n定时清扫使用率:80%","电池衰减:19%\n边刷寿命:剩余25天","大户型中操作便捷性优于同类15%","2025-05"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:剩余40%","优于65%同面积用户（清洁频率更高）","2025-06"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率低于同类30%","2025-06"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:15次/月","胶刷更换:剩余25天\n尘盒容量:每日清理","毛发处理效率前15%","2025-06"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:89%","主刷缠绕:严重\n滤网更换:急需","建议升级吸力至2500Pa","2025-06"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:95%\n定时清扫未使用","电池衰减:25%\n水箱未激活","急需语音控制功能","2025-06"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:3次/周\n玩具避障率:76%","边刷更换:2次/季度\n集尘袋消耗:1个/月","建议增加机械臂配件","2025-06"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:90%\n日均清扫:35㎡\n沿边清扫无死角","滤网寿命:剩余80天\n尘盒清理:每5天","清洁效率优于70%小户型用户","2025-06"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:86%\n餐桌区域漏扫:1次/天\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每日2次","大理石地面清洁效果低于同类15%","2025-06"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:85%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中清洁效率处于中等水平","2025-06"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:15%\n边刷寿命:剩余45天","大户型中操作便捷性低于同类20%","2025-06"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:84%\n日均清扫:44㎡\n漏扫区域:沙发底部+床底","主刷寿命:剩余55天\nHEPA滤网:剩余35%","优于62%同面积用户（清洁频率略降）","2025-07"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:87%\n避障失败:3次/周（电线+拖鞋）","边刷磨损:中度+\n尘盒清理:每2天","拖地功能使用率低于同类33%","2025-07"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:91%\n地毯增压使用:14次/月","胶刷更换:剩余20天\n尘盒容量:每日清理2次","毛发处理效率前20%","2025-07"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:9次/月\n自动回充成功率:87%","主刷缠绕:严重+\n滤网更换:紧急","建议升级吸力+更换防缠绕主刷","2025-07"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:96%\n定时清扫未使用（操作遗忘）","电池衰减:26%\n水箱未激活","需重新指导语音控制功能使用","2025-07"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:4次/周\n玩具避障率:73%","边刷更换:待更换\n集尘袋消耗:1.3个/月","机械臂配件故障+需检修跨楼层导航","2025-07"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:89%\n日均清扫:34㎡\n沿边清扫轻微漏扫","滤网寿命:剩余75天\n尘盒清理:每4天","清洁效率优于68%小户型用户","2025-07"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:85%\n餐桌区域漏扫:2次/天\n避障成功率:89%","主刷磨损:轻度+\n水箱加水:每日3次","大理石地面清洁效果低于同类17%","2025-07"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:84%\n自动回充成功率:91%","胶刷缠绕:中度+\n滤网更换:剩余25天","养宠家庭中清洁效率处于中下水平","2025-07"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:81%\n手动辅助清扫:4次/天\n定时清扫使用率:55%","电池衰减:16%\n边刷寿命:剩余40天","大户型中操作便捷性低于同类22%","2025-07"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:83%\n日均清扫:43㎡\n漏扫区域:沙发底部+床底+阳台角落","主刷寿命:剩余50天\nHEPA滤网:剩余30%","优于60%同面积用户（清洁频率持续略降）","2025-08"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:86%\n避障失败:4次/周（电线+拖鞋+小凳子）","边刷磨损:重度-\n尘盒清理:每1天","拖地功能使用率低于同类35%","2025-08"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:90%\n地毯增压使用:13次/月","胶刷更换:已更换\n尘盒容量:每日清理2次","毛发处理效率前22%","2025-08"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:10次/月\n自动回充成功率:85%","主刷缠绕:严重++\n滤网更换:已更换","防缠绕主刷已更换+清洁效率暂未提升","2025-08"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:97%\n定时清扫未使用","电池衰减:27%\n水箱未激活","语音控制功能需调试+重新教学","2025-08"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:5次/周\n玩具避障率:70%","边刷更换:1次/月\n集尘袋消耗:1.5个/月","机械臂配件已更换+跨楼层导航待深度优化","2025-08"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:88%\n日均清扫:33㎡\n沿边清扫漏扫增多","滤网寿命:剩余70天\n尘盒清理:每3天","清洁效率优于65%小户型用户","2025-08"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:84%\n餐桌区域漏扫:2次/天\n避障成功率:88%","主刷磨损:中度-\n水箱加水:每日3次","大理石地面清洁效果低于同类18%","2025-08"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:83%\n自动回充成功率:90%","胶刷缠绕:重度-\n滤网更换:剩余20天","养宠家庭中清洁效率处于下游水平","2025-08"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:80%\n手动辅助清扫:4次/天\n定时清扫使用率:50%","电池衰减:17%\n边刷寿命:剩余35天","大户型中操作便捷性低于同类25%","2025-08"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:84%\n日均清扫:44㎡\n漏扫区域:沙发底部+床底","主刷寿命:剩余45天\nHEPA滤网:剩余25%","优于63%同面积用户（清洁频率小幅回升）","2025-09"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:87%\n避障失败:3次/周（电线+拖鞋）","边刷磨损:中度\n尘盒清理:每2天","拖地功能使用率低于同类32%+建议整理杂物","2025-09"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:91%\n地毯增压使用:15次/月","胶刷寿命:剩余45天\n尘盒容量:每日清理1次","毛发处理效率前18%","2025-09"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:88%","主刷缠绕:中度+\n滤网寿命:剩余60天","防缠绕主刷生效+清洁效率提升8%","2025-09"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:90%\n定时清扫使用率:4次/周","电池衰减:28%\n水箱首次激活:使用2次","语音控制功能调试完成+操作教学中","2025-09"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:3次/周\n玩具避障率:75%","边刷寿命:剩余60天\n集尘袋消耗:1.2个/月","跨楼层导航优化中+清洁效率小幅回升","2025-09"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:89%\n日均清扫:35㎡\n沿边清扫漏扫减少","滤网寿命:剩余65天\n尘盒清理:每4天","清洁效率优于70%小户型用户","2025-09"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:86%\n餐桌区域漏扫:1次/天\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每日2次","大理石地面清洁效果低于同类15%","2025-09"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:86%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中清洁效率回升至中等水平","2025-09"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:18%\n边刷寿命:剩余30天","大户型中操作便捷性回升至低于同类20%","2025-09"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:86%\n日均清扫:46㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余40天\nHEPA滤网:剩余20%","优于68%同面积用户（清洁频率持续回升）","2025-10"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:89%\n避障失败:1次/周（电线缠绕）","边刷寿命:剩余50天\n尘盒清理:每3天","拖地功能使用率低于同类25%","2025-10"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:93%\n地毯增压使用:17次/月","胶刷寿命:剩余40天\n尘盒清理:每2天","毛发处理效率前12%","2025-10"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:90%","主刷缠绕:轻度\n滤网寿命:剩余55天","清洁效率优于同类养宠家庭20%","2025-10"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:80%\n定时清扫使用率:6次/周","电池衰减:29%\n水箱使用率:60%","语音控制功能使用熟练度提升+操作顺畅","2025-10"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:2次/周\n玩具避障率:80%","边刷寿命:剩余55天\n集尘袋消耗:1.0个/月","跨楼层导航优化完成+清洁效率提升10%","2025-10"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:37㎡\n沿边清扫无死角","滤网寿命:剩余60天\n尘盒清理:每5天","清洁效率优于75%小户型用户","2025-10"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:88%\n避障成功率:93%","主刷寿命:剩余65天\n水箱加水:每日1次","大理石地面清洁效果低于同类10%","2025-10"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:89%\n自动回充成功率:94%","胶刷缠绕:轻度\n滤网寿命:剩余45天","养宠家庭中清洁效率处于中上等水平","2025-10"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:85%\n手动辅助清扫:2次/天\n定时清扫使用率:70%","电池衰减:19%\n边刷寿命:剩余25天","大户型中操作便捷性低于同类15%","2025-10"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:88%\n日均清扫:48㎡\n无漏扫区域（沙发底部垫高）","主刷寿命:剩余35天\nHEPA滤网:剩余15%","优于75%同面积用户（清洁无死角）","2025-11"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:90%\n避障失败:0次/周","边刷寿命:剩余45天\n尘盒清理:每4天","拖地功能使用率与同类平均水平持平","2025-11"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:94%\n地毯增压使用:18次/月","胶刷寿命:剩余35天\n尘盒清理:每2天","毛发处理效率前10%","2025-11"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:92%","主刷缠绕:无\n滤网寿命:剩余50天","清洁效率优于同类养宠家庭30%","2025-11"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:70%\n定时清扫使用率:7次/周","电池衰减:30%\n水箱使用率:80%","语音控制功能使用熟练+清洁效率提升20%","2025-11"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:0次/周\n玩具避障率:88%","边刷寿命:剩余50天\n集尘袋消耗:0.8个/月","清洁效率优于85%大户型多层用户","2025-11"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:93%\n日均清扫:38㎡\n无漏扫区域","滤网寿命:剩余55天\n尘盒清理:每5天","清洁效率优于80%小户型用户","2025-11"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:90%\n避障成功率:95%","主刷寿命:剩余60天\n水箱加水:每日1次","大理石地面清洁效果与同类持平","2025-11"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:91%\n自动回充成功率:95%","胶刷缠绕:无\n滤网寿命:剩余40天","养宠家庭中清洁效率前20%","2025-11"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:87%\n手动辅助清扫:1次/天\n定时清扫使用率:75%","电池衰减:20%\n边刷寿命:剩余20天","大户型中操作便捷性与同类持平","2025-11"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:90%\n日均清扫:50㎡\n无漏扫区域","主刷寿命:剩余30天\nHEPA滤网:剩余10%","优于85%同面积用户（清洁效率满分）","2025-12"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:92%\n避障成功率:100%","边刷寿命:剩余40天\n尘盒清理:每5天","拖地功能使用率优于同类15%","2025-12"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:95%\n地毯增压使用:20次/月","胶刷寿命:剩余30天\n尘盒清理:每2天","毛发处理效率前5%","2025-12"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:95%","主刷寿命:剩余40天\n滤网寿命:剩余45天","清洁效率优于同类养宠家庭35%","2025-12"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:60%\n定时清扫使用率:7次/周","电池衰减:30%\n水箱使用率:90%","语音控制功能深度使用+清洁效率提升30%","2025-12"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层成功率:100%\n玩具避障率:95%","边刷寿命:剩余45天\n集尘袋消耗:0.7个/月","清洁效率优于95%大户型多层用户","2025-12"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:95%\n日均清扫:40㎡\n无漏扫区域","滤网寿命:剩余50天\n尘盒清理:每5天","清洁效率优于90%小户型用户","2025-12"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:92%\n避障成功率:98%","主刷寿命:剩余55天\n水箱加水:每日1次","大理石地面清洁效果优于同类20%","2025-12"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:93%\n自动回充成功率:98%","胶刷寿命:剩余35天\n滤网寿命:剩余35天","养宠家庭中清洁效率前10%","2025-12"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:90%\n手动辅助清扫:0次/天\n定时清扫使用率:90%","电池衰减:20%\n边刷寿命:剩余15天","大户型中操作便捷性优于同类20%","2025-12"